Product,URL,Angle,Bundle Diameter Max.,Bundle Diameter Min.,Length,Material,Mounting Hole Diameter
"Series 6 Ratchet Clamp, 0.5 - 0.77"" Bundle Dia, 0.81"" x 1.81"" Hook, PA66HIRHSUV/ZN, Black, 280/ctn",https://www.hellermanntyton.us/products/151-02875/,180 °,19.5 mm,12.7 mm,115.4 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Zinc plated (ZN)",5.6 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Short, 0.33"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01457/,90 °,19.5 mm,12.7 mm,101.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",8.31 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 180° Short, 0.41"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01390/,180 °,19.5 mm,12.7 mm,116.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",10.29 mm
"Ratchet P-Clamp, 0.50 - 0.77"" Bundle Dia, 180° Short, 0.41"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 20/bg",https://www.hellermanntyton.us/products/151-03037/,180 °,19.5 mm,12.7 mm,116.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",10.29 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 180° Short, 0.41"" Hole Dia, PA66HIRHSUV/ST/ZN, Orange, 280/ctn",https://www.hellermanntyton.us/products/151-03460/,180 °,19.5 mm,12.7 mm,116.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",10.29 mm
"Series 6 Ratchet Clamp, 0.5 - 0.77"" Bundle Dia, PA66HIRHSUV/ZN, 280/ctn",https://www.hellermanntyton.us/products/151-03620/,,19.5 mm,12.7 mm,134.4 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Zinc plated (ZN)",
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 15° Short, 0.41"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01449/,15 °,19.5 mm,12.7 mm,115.6 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",10.29 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 15° Short, 0.41"" Hole Dia, PA66HIRHSUV/SS304, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01957/,15 °,19.5 mm,12.7 mm,115.6 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",10.29 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 15° Short, 0.51"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01450/,15 °,19.5 mm,12.7 mm,115.6 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",12.95 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 15° Short, 0.51"" Hole Dia, PA66HIRHSUV/SS304, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01958/,15 °,19.5 mm,12.7 mm,115.6 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",12.95 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 15° Short, 0.26"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01648/,15 °,19.5 mm,12.7 mm,115.6 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",6.5 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 15° Short, 0.26"" Hole Dia, PA66HIRHSUV/SS304, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01955/,15 °,19.5 mm,12.7 mm,115.6 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",6.5 mm
